I,token_tome,token_chv_esq,token_chv_dir,token_ingredients,token_id,token_endline,token_atr,token_for ,token_par_esq,token_par_dir,token_summon,token_echo,token_if,token_while,token_int,token_float,token_string,token_col_esq,token_col_dir,token_and,token_or,token_not,token_le,token_gr,token_eq,token_add,token_sub,token_mul,token_div,token_type_int,token_type_float,token_type_string,gtoken_end,BAR,gtoken_program,gtoken_cmd_init,gtoken_declare_sq,gtoken_cmd_sq,gtoken_operation,gtoken_assign_sq,gtoken_for_sq,gtoken_summon_sq,gtoken_echo_sq,gtoken_control,gtoken_control_struc,gtoken_block,gtoken_expression,gtoken_logic,gtoken_bool_op,gtoken_relacional,gtoken_relacional_op,gtoken_expr,gtoken_term,gtoken_factor,gtoken_id,gtoken_op_logic,gtoken_op_rel,gtoken_op_art_pr,gtoken_op_art_sc,gtoken_value,gtoken_type,BAR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,S2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,1,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACEITA,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,S3,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,S4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,S7,S48,,,S82,,,S91,S95,S104,S105,,,,,,,,,,,,,,,,,,,,BAR,,5,,113,29,71,73,74,75,72,101,,,,,,,,,,79,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,S6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R0,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,S8,,,,,,,,, ,,,,,,,,,,,,,,,,, ,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S22,S18,S17,,BAR,,,26,,,,,,,,,,,,,,,,,,,,,,,,9,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,S10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,S11,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,S50,S51,S52,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,12,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,S13,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S22,S18,S17,,BAR,,,14,,,,,,,,,,,,,,,,,,,,,,,,9,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,R4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S22,S18,S17,,BAR,,,16,,,,,,,,,,,,,,,,,,,,,,,,9,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,R3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,R54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,R52,,,,,,,,,,,,,S19,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,S20,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,S21,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,R53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,R50,,,,,,,,,,,,,S23,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
